,Event times,Fitted stations,Moveout intercept,Moveout slope (s/km),Event?,
82,2011-06-26T00:05:47.960200Z,3,70.17937951,0.476507965,N,
83,2011-06-26T00:13:35.290400Z,3,-25.372531,-0.004323865,N,
84,2011-06-26T00:27:08.470300Z,3,7.794697327,-0.816143407,?,
85,2011-06-26T01:01:14.680300Z,7,-1.800148724,0.373860163,Y,
86,2011-06-26T01:07:27.540300Z,7,-0.00463235,0.414692782,?,
87,2011-06-26T01:14:53.490400Z,4,-2.381015787,0.303280524,N,
88,2011-06-26T01:18:39.010300Z,5,1.117725657,-0.154249843,N,
89,2011-06-26T01:28:51.000300Z,8,1.272155089,0.293379385,Y,
90,2011-06-26T01:58:38.790400Z,3,-2.730255356,0.449650776,N,
91,2011-06-26T02:52:59.010300Z,5,2.172540836,-0.404660225,,
92,2011-06-26T03:24:11.810400Z,3,-41.1901155,0.761875612,,
93,2011-06-26T03:52:38.380400Z,6,-1.707298997,0.169174311,,
94,2011-06-26T03:55:44.740300Z,5,-2.310195865,0.512460212,,
95,2011-06-26T04:32:57.690500Z,5,-4.011470863,0.481685108,,
96,2011-06-26T04:49:30.890400Z,5,0.141827035,0.022002212,,
97,2011-06-26T05:01:01.630400Z,5,0.602353986,-0.126504332,,
98,2011-06-26T05:03:46.780400Z,5,8.783386325,-0.212110452,,
99,2011-06-26T05:14:14.150500Z,3,-55.62554457,0.647005153,,
100,2011-06-26T06:37:21.170500Z,5,-3.675015687,0.067398396,,
101,2011-06-26T07:13:15.080400Z,6,0.298780609,0.026256826,,
102,2011-06-26T07:28:13.500400Z,4,-3.045153651,0.444356315,,
103,2011-06-26T07:41:37.480500Z,4,-0.045682417,-0.336509164,,
104,2011-06-26T08:49:20.680400Z,5,0.305018951,0.047626449,,
105,2011-06-26T08:58:13.190400Z,3,-1.269892819,-0.124929299,,
106,2011-06-26T09:28:44.210500Z,4,-2.613608163,0.533544413,,
107,2011-06-26T09:32:08.080500Z,10,-37.55981325,0.10966174,,
108,2011-06-26T09:37:47.210500Z,6,4.234986832,-0.502420696,,
109,2011-06-26T10:04:16.104700Z,5,3.299044421,-0.437568079,,
110,2011-06-26T10:16:23.509200Z,5,-0.555422548,0.301392013,,
